"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1" 2000-10-31 -0.0823391298882429 0.0827062805947665 -0.00809582025769551 -0.00334491755176347 0.0269149706080241 0.141968849142707 0.0713456446257354 0.162340170517752 0.202915879419425 -0.0571427556255891 -0.00494948587236088 -2.76 -3.8 5.69 0.56
"2" 2000-11-30 -0.157399734324678 -0.153804455370784 -0.189560006762163 -0.0352348591425012 0.0349560903763131 -0.166968961147592 0.0481192266059052 -0.0476707028255662 -0.0281084390304711 0.150137628714896 -0.0800686099610699 -10.72 -3.47 12.55 0.51
"3" 2001-01-31 0.173187412599834 0.230768726086253 0.219099910491942 -0.00101391573492748 -0.136764366164827 0.407780530771946 -0.0796337151766907 0.017731571109693 0.104050415011121 0.06917640936563 0.0346365770863295 3.13 6.74 -5.28 0.54
"4" 2001-02-28 -0.0476009676656213 -0.227607420646853 -0.151482416594012 0.00609085565919587 0.00170332183396749 -0.0337768451681725 -0.0186531408709589 -0.0134434243878033 -0.099181493644551 -0.118133779747407 -0.092290735849 -10.05 -0.82 12.6 0.38
"5" 2001-04-30 0.0228312353586184 0.174726628635499 0.0774025256262225 0.0600221415193527 0.0357813428012135 0.23885765702254 -0.0348498339384513 -0.0703725716314951 0.125794428227919 0.0245543836168807 0.0768143617590098 7.94 0.59 -4.74 0.39
"6" 2001-05-31 0.0680712135690327 -0.12562493571565 0.0243852438436649 0.062539655979571 0.101090751655067 0.021106619131811 0.0697750284919247 0.0436364713771151 -0.00399443021286827 0.000193415724224932 0.00509018711964959 0.72 2.52 3.38 0.32
"7" 2001-07-31 0.0598031106350816 0.0191451087841459 -0.0190275613845999 -0.0353191912093525 0.0768657816762504 -0.0932874932588547 0.119248003549598 0.131082606983379 0.0194169853057218 0.145491865555485 -0.0107401500729342 -2.13 -4.45 5.6 0.3
"8" 2001-08-31 -0.0333230841821355 -0.0614751905604182 -0.0900691601188952 0.0381559070556183 0.0305421296648609 -0.138087410802405 0.0440726230623485 -0.0914940762360725 -0.0766389053851582 -0.140429511042792 -0.0641084065637147 -6.46 2.4 2.52 0.31
"9" 2001-10-31 0.0101024392927402 0.194716379508633 0.0455924025921421 0.123332984496498 -0.0394253251214018 0.136408613853765 0.019060415171104 -0.186654726523424 -0.0729727755957396 0.0383835588078441 0.0180991114452778 2.46 7.68 -7.94 0.22
"10" 2001-11-30 0.0405159298673723 0.338446143318118 0.0667411454974298 0.121662277772994 0.0382659328614303 0.1042134019097 0.0498777604076794 -0.0191551873158685 -0.0564145698037914 0.0729576464514727 0.0751759042630535 7.54 -0.34 1.91 0.17
"11" 2001-12-31 0.0355448813140051 -0.0370488021973622 -0.0363196496625776 0.0474238235078279 -0.0137855745743344 0.0317705128574879 0.0215598294592605 0.0478863426632965 0.00978753056294934 0.0448282390425903 0.00757383419291568 1.61 4.61 1.2 0.15
"12" 2002-01-31 0.00127088585713353 0.114149794209687 -0.0544294463027433 0.0506794977108016 0.0268231422061516 -0.0383394433059027 0.0371736329378705 -0.0377312129597778 -0.0158555356803424 0.0422247031127576 -0.0155738325597943 -1.44 1.09 3.48 0.14
"13" 2002-02-28 0.0242527845924323 -0.184737450521611 -0.140969250102811 -0.0025838896466609 -0.0397350326193355 -0.0842882041870278 0.0380751002575717 0.0104134658795376 0.00970903379962329 0.0338438260554788 -0.0207662113055603 -2.29 -1.13 2.46 0.13
"14" 2002-04-30 0.065569237756248 -0.059190769945987 -0.00585526454201934 -0.0451508723153701 0.0234232812962822 -0.133477034568047 0.00607922655215232 -0.164363463354606 -0.122460390065316 -0.0887438664963668 -0.0614176261591399 -5.2 5.82 4.15 0.15
"15" 2002-05-31 0.0459437819263355 -0.0339103964661173 0.0242171102439472 -0.0192644834984258 0.054225477417811 -0.0258326661475479 -0.00786644005115267 0.103991923190169 0.0720517695331002 -0.0315074006936813 -0.00908148107604545 -1.38 -3.28 1.64 0.14
"16" 2002-07-31 -0.0548609560923056 0.0284617882821556 -0.256085955731226 -0.0819730584459366 -0.130052881337582 -0.122851680770782 0.00158330400913775 -0.0853241451900095 -0.169864062425392 -0.105981091840714 -0.0790042749661253 -8.18 -5.24 -3.51 0.15
"17" 2002-09-30 -0.0814013717201382 -0.166766680962495 -0.280681824874934 -0.0845795351464885 -0.25673387462621 -0.10880199118978 0.00823425705767367 -0.187550875511739 -0.114838837573379 -0.0780075401438634 -0.110024318261519 -10.35 2.36 1.68 0.14
"18" 2002-10-31 0.0940441034875341 0.245500596597546 0.11183042555217 0.0663277113808618 0.0254817651509771 0.222450944503227 -0.0058975647243954 0.293220413908755 0.392642050291518 0.0875306202241877 0.0864488010168099 7.84 -3.44 -4.13 0.14
"19" 2002-12-31 0.00197647565023451 -0.254310233462217 -0.046484347895706 -0.017645965137176 -0.130810551708964 -0.103674995166503 0.0166803398871025 -0.0487724845710102 -0.0747372079778496 -0.0615125392951059 -0.0603325726742906 -5.76 -0.02 2.39 0.11
"20" 2003-01-31 0.00689926484407155 0.00578029733344265 -0.0135250776081235 -0.0559115302068548 -0.11442801717377 -0.0820120042076304 0.000463882419546202 -0.0903762373880198 -0.00333241943505314 -0.0536532884380511 -0.0274146925599522 -2.57 1.34 -0.72 0.1
"21" 2003-02-28 -0.0115634068658212 0.102943077705267 -0.0282777210257805 -0.0309865029772806 -0.0442412615540332 0.00194772522318365 -0.0433562862364413 -0.148935911959437 -0.0966560024094356 0.00543972754337618 -0.0170036085029294 -1.88 -0.44 -1.27 0.09
